pincode,lat,lon,city,state,zone,delivery_zone
400053,19.1157,72.8466,Mumbai,Maharashtra,Western,A
400051,19.0596,72.8295,Mumbai,Maharashtra,Western,A
400076,19.1136,72.9023,Mumbai,Maharashtra,Eastern,B
400069,19.1280,72.8252,Mumbai,Maharashtra,Western,A
400095,19.1964,72.8491,Mumbai,Maharashtra,Western,C
400063,19.1647,72.8691,Mumbai,Maharashtra,Central,B
400049,19.0434,72.8206,Mumbai,Maharashtra,Western,A
400101,19.0784,72.9052,Mumbai,Maharashtra,Eastern,C
400059,19.1790,72.8476,Mumbai,Maharashtra,Western,B
400072,19.1337,72.9147,Mumbai,Maharashtra,Eastern,B
